"Label (Grouping)","ZCTA5 90043!!Occupied housing units!!Estimate","ZCTA5 90043!!Occupied housing units!!Margin of Error","ZCTA5 90043!!Percent occupied housing units!!Estimate","ZCTA5 90043!!Percent occupied housing units!!Margin of Error","ZCTA5 90043!!Owner-occupied housing units!!Estimate","ZCTA5 90043!!Owner-occupied housing units!!Margin of Error","ZCTA5 90043!!Percent owner-occupied housing units!!Estimate","ZCTA5 90043!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90043!!Renter-occupied housing units!!Estimate","ZCTA5 90043!!Renter-occupied housing units!!Margin of Error","ZCTA5 90043!!Percent renter-occupied housing units!!Estimate","ZCTA5 90043!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90045!!Occupied housing units!!Estimate","ZCTA5 90045!!Occupied housing units!!Margin of Error","ZCTA5 90045!!Percent occupied housing units!!Estimate","ZCTA5 90045!!Percent occupied housing units!!Margin of Error","ZCTA5 90045!!Owner-occupied housing units!!Estimate","ZCTA5 90045!!Owner-occupied housing units!!Margin of Error","ZCTA5 90045!!Percent owner-occupied housing units!!Estimate","ZCTA5 90045!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90045!!Renter-occupied housing units!!Estimate","ZCTA5 90045!!Renter-occupied housing units!!Margin of Error","ZCTA5 90045!!Percent renter-occupied housing units!!Estimate","ZCTA5 90045!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90250!!Occupied housing units!!Estimate","ZCTA5 90250!!Occupied housing units!!Margin of Error","ZCTA5 90250!!Percent occupied housing units!!Estimate","ZCTA5 90250!!Percent occupied housing units!!Margin of Error","ZCTA5 90250!!Owner-occupied housing units!!Estimate","ZCTA5 90250!!Owner-occupied housing units!!Margin of Error","ZCTA5 90250!!Percent owner-occupied housing units!!Estimate","ZCTA5 90250!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90250!!Renter-occupied housing units!!Estimate","ZCTA5 90250!!Renter-occupied housing units!!Margin of Error","ZCTA5 90250!!Percent renter-occupied housing units!!Estimate","ZCTA5 90250!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90301!!Occupied housing units!!Estimate","ZCTA5 90301!!Occupied housing units!!Margin of Error","ZCTA5 90301!!Percent occupied housing units!!Estimate","ZCTA5 90301!!Percent occupied housing units!!Margin of Error","ZCTA5 90301!!Owner-occupied housing units!!Estimate","ZCTA5 90301!!Owner-occupied housing units!!Margin of Error","ZCTA5 90301!!Percent owner-occupied housing units!!Estimate","ZCTA5 90301!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90301!!Renter-occupied housing units!!Estimate","ZCTA5 90301!!Renter-occupied housing units!!Margin of Error","ZCTA5 90301!!Percent renter-occupied housing units!!Estimate","ZCTA5 90301!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90302!!Occupied housing units!!Estimate","ZCTA5 90302!!Occupied housing units!!Margin of Error","ZCTA5 90302!!Percent occupied housing units!!Estimate","ZCTA5 90302!!Percent occupied housing units!!Margin of Error","ZCTA5 90302!!Owner-occupied housing units!!Estimate","ZCTA5 90302!!Owner-occupied housing units!!Margin of Error","ZCTA5 90302!!Percent owner-occupied housing units!!Estimate","ZCTA5 90302!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90302!!Renter-occupied housing units!!Estimate","ZCTA5 90302!!Renter-occupied housing units!!Margin of Error","ZCTA5 90302!!Percent renter-occupied housing units!!Estimate","ZCTA5 90302!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90303!!Occupied housing units!!Estimate","ZCTA5 90303!!Occupied housing units!!Margin of Error","ZCTA5 90303!!Percent occupied housing units!!Estimate","ZCTA5 90303!!Percent occupied housing units!!Margin of Error","ZCTA5 90303!!Owner-occupied housing units!!Estimate","ZCTA5 90303!!Owner-occupied housing units!!Margin of Error","ZCTA5 90303!!Percent owner-occupied housing units!!Estimate","ZCTA5 90303!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90303!!Renter-occupied housing units!!Estimate","ZCTA5 90303!!Renter-occupied housing units!!Margin of Error","ZCTA5 90303!!Percent renter-occupied housing units!!Estimate","ZCTA5 90303!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90304!!Occupied housing units!!Estimate","ZCTA5 90304!!Occupied housing units!!Margin of Error","ZCTA5 90304!!Percent occupied housing units!!Estimate","ZCTA5 90304!!Percent occupied housing units!!Margin of Error","ZCTA5 90304!!Owner-occupied housing units!!Estimate","ZCTA5 90304!!Owner-occupied housing units!!Margin of Error","ZCTA5 90304!!Percent owner-occupied housing units!!Estimate","ZCTA5 90304!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90304!!Renter-occupied housing units!!Estimate","ZCTA5 90304!!Renter-occupied housing units!!Margin of Error","ZCTA5 90304!!Percent renter-occupied housing units!!Estimate","ZCTA5 90304!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90305!!Occupied housing units!!Estimate","ZCTA5 90305!!Occupied housing units!!Margin of Error","ZCTA5 90305!!Percent occupied housing units!!Estimate","ZCTA5 90305!!Percent occupied housing units!!Margin of Error","ZCTA5 90305!!Owner-occupied housing units!!Estimate","ZCTA5 90305!!Owner-occupied housing units!!Margin of Error","ZCTA5 90305!!Percent owner-occupied housing units!!Estimate","ZCTA5 90305!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90305!!Renter-occupied housing units!!Estimate","ZCTA5 90305!!Renter-occupied housing units!!Margin of Error","ZCTA5 90305!!Percent renter-occupied housing units!!Estimate","ZCTA5 90305!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","17,132","±787","17,132","±787","9,093","±578","9,093","±578","8,039","±674","8,039","±674","15,852","±596","15,852","±596","7,596","±497","7,596","±497","8,256","±608","8,256","±608","32,230","±731","32,230","±731","10,322","±527","10,322","±527","21,908","±706","21,908","±706","12,142","±595","12,142","±595","3,122","±362","3,122","±362","9,020","±650","9,020","±650","10,340","±543","10,340","±543","3,243","±402","3,243","±402","7,097","±509","7,097","±509","6,894","±347","6,894","±347","2,666","±238","2,666","±238","4,228","±382","4,228","±382","7,174","±566","7,174","±566","2,107","±351","2,107","±351","5,067","±508","5,067","±508","5,894","±345","5,894","±345","3,522","±316","3,522","±316","2,372","±325","2,372","±325"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","1,003","±237","5.9%","±1.4","228","±77","2.5%","±0.9","775","±236","9.6%","±2.9","457","±179","2.9%","±1.1","111","±71","1.5%","±0.9","346","±164","4.2%","±1.9","869","±240","2.7%","±0.7","170","±79","1.6%","±0.8","699","±225","3.2%","±1.0","734","±337","6.0%","±2.6","41","±34","1.3%","±1.1","693","±332","7.7%","±3.5","515","±225","5.0%","±2.1","114","±81","3.5%","±2.4","401","±201","5.7%","±2.8","209","±88","3.0%","±1.3","50","±35","1.9%","±1.3","159","±81","3.8%","±1.9","231","±133","3.2%","±1.9","21","±21","1.0%","±1.0","210","±133","4.1%","±2.6","109","±63","1.8%","±1.1","62","±52","1.8%","±1.5","47","±37","2.0%","±1.5"
"        $5,000 to $9,999","593","±196","3.5%","±1.2","258","±118","2.8%","±1.3","335","±160","4.2%","±1.9","246","±147","1.6%","±0.9","76","±98","1.0%","±1.3","170","±91","2.1%","±1.1","632","±197","2.0%","±0.6","90","±77","0.9%","±0.8","542","±190","2.5%","±0.9","180","±91","1.5%","±0.7","39","±43","1.2%","±1.4","141","±79","1.6%","±0.9","197","±115","1.9%","±1.1","82","±71","2.5%","±2.1","115","±89","1.6%","±1.3","101","±56","1.5%","±0.8","11","±18","0.4%","±0.7","90","±53","2.1%","±1.3","122","±82","1.7%","±1.1","11","±15","0.5%","±0.7","111","±81","2.2%","±1.6","84","±71","1.4%","±1.2","31","±28","0.9%","±0.8","53","±62","2.2%","±2.7"
"        $10,000 to $14,999","1,157","±231","6.8%","±1.3","181","±103","2.0%","±1.1","976","±209","12.1%","±2.8","316","±160","2.0%","±1.0","18","±25","0.2%","±0.3","298","±156","3.6%","±1.9","1,265","±297","3.9%","±0.9","167","±102","1.6%","±1.0","1,098","±298","5.0%","±1.4","641","±188","5.3%","±1.6","81","±59","2.6%","±1.9","560","±174","6.2%","±2.0","347","±151","3.4%","±1.5","64","±46","2.0%","±1.4","283","±149","4.0%","±2.1","218","±91","3.2%","±1.3","64","±62","2.4%","±2.4","154","±71","3.6%","±1.6","261","±123","3.6%","±1.7","27","±40","1.3%","±1.9","234","±112","4.6%","±2.1","190","±104","3.2%","±1.8","83","±54","2.4%","±1.6","107","±87","4.5%","±3.5"
"        $15,000 to $19,999","849","±389","5.0%","±2.2","241","±124","2.7%","±1.3","608","±372","7.6%","±4.4","324","±162","2.0%","±1.0","71","±98","0.9%","±1.3","253","±133","3.1%","±1.6","573","±144","1.8%","±0.4","123","±58","1.2%","±0.6","450","±139","2.1%","±0.6","501","±198","4.1%","±1.6","54","±57","1.7%","±1.8","447","±193","5.0%","±2.1","327","±198","3.2%","±1.9","8","±13","0.2%","±0.4","319","±199","4.5%","±2.7","147","±73","2.1%","±1.0","43","±26","1.6%","±1.0","104","±67","2.5%","±1.6","234","±105","3.3%","±1.5","89","±60","4.2%","±2.8","145","±87","2.9%","±1.7","202","±121","3.4%","±2.1","55","±39","1.6%","±1.1","147","±114","6.2%","±4.9"
"        $20,000 to $24,999","471","±152","2.7%","±0.9","97","±57","1.1%","±0.6","374","±138","4.7%","±1.7","197","±84","1.2%","±0.5","62","±45","0.8%","±0.6","135","±97","1.6%","±1.2","898","±231","2.8%","±0.7","91","±57","0.9%","±0.6","807","±226","3.7%","±1.0","585","±167","4.8%","±1.4","79","±45","2.5%","±1.4","506","±174","5.6%","±1.9","337","±146","3.3%","±1.4","50","±45","1.5%","±1.4","287","±143","4.0%","±2.0","278","±94","4.0%","±1.4","41","±28","1.5%","±1.0","237","±88","5.6%","±2.1","405","±139","5.6%","±1.8","13","±20","0.6%","±0.9","392","±140","7.7%","±2.6","390","±138","6.6%","±2.3","174","±84","4.9%","±2.3","216","±114","9.1%","±4.8"
"        $25,000 to $34,999","1,556","±336","9.1%","±2.0","686","±271","7.5%","±2.8","870","±197","10.8%","±2.6","831","±312","5.2%","±2.0","454","±213","6.0%","±2.7","377","±207","4.6%","±2.5","3,122","±444","9.7%","±1.3","427","±139","4.1%","±1.3","2,695","±429","12.3%","±1.9","1,007","±242","8.3%","±1.9","73","±48","2.3%","±1.5","934","±238","10.4%","±2.6","888","±228","8.6%","±2.2","180","±78","5.6%","±2.5","708","±217","10.0%","±3.1","402","±126","5.8%","±1.8","99","±44","3.7%","±1.7","303","±108","7.2%","±2.5","982","±409","13.7%","±5.0","293","±237","13.9%","±9.7","689","±347","13.6%","±6.1","198","±70","3.4%","±1.2","102","±54","2.9%","±1.5","96","±46","4.0%","±2.0"
"        $35,000 to $49,999","1,650","±376","9.6%","±2.1","434","±143","4.8%","±1.6","1,216","±367","15.1%","±4.3","847","±249","5.3%","±1.6","203","±94","2.7%","±1.2","644","±238","7.8%","±2.9","3,391","±380","10.5%","±1.2","573","±185","5.6%","±1.8","2,818","±368","12.9%","±1.7","1,487","±289","12.2%","±2.4","254","±116","8.1%","±3.6","1,233","±274","13.7%","±3.0","1,168","±279","11.3%","±2.6","232","±106","7.2%","±3.2","936","±282","13.2%","±3.8","1,086","±312","15.8%","±4.1","230","±120","8.6%","±4.3","856","±290","20.2%","±5.8","924","±222","12.9%","±3.2","109","±77","5.2%","±3.8","815","±196","16.1%","±4.0","692","±259","11.7%","±4.1","335","±224","9.5%","±5.9","357","±131","15.1%","±5.2"
"        $50,000 to $74,999","2,341","±396","13.7%","±2.1","1,139","±219","12.5%","±2.3","1,202","±294","15.0%","±3.4","1,646","±396","10.4%","±2.5","559","±142","7.4%","±1.7","1,087","±349","13.2%","±4.2","5,458","±550","16.9%","±1.6","1,190","±221","11.5%","±2.0","4,268","±491","19.5%","±2.3","1,940","±305","16.0%","±2.4","356","±133","11.4%","±4.4","1,584","±280","17.6%","±2.9","2,059","±351","19.9%","±3.2","618","±207","19.1%","±5.5","1,441","±305","20.3%","±4.1","1,551","±232","22.5%","±3.4","472","±113","17.7%","±4.2","1,079","±210","25.5%","±5.0","1,238","±235","17.3%","±3.8","308","±115","14.6%","±5.5","930","±199","18.4%","±4.3","794","±195","13.5%","±3.3","337","±105","9.6%","±3.0","457","±155","19.3%","±6.6"
